RTH #	RSH #	RTK #	TH	SH	K	H POS	RTH Keyword	RSH Keyword	RTK Keyword	RTH Read	TH Read	RTH Lesson	RSH Lesson	RTK Lesson	K and H check	SH and TH check	K and TH keywords	SH and TH keywords	K and H Visual Check	orthodox	prc_variant	jpn_variant	is_duplicate
2956	2779	1813	觸	触	触	v.	touch	touch	contact	chù	chù	RTH2-L55	RSH2-L47	RTK1v5-L48	K = SH	SH <> TH	K key <> TH key	SH key = TH key		觸	触		FALSE
2957	2956	1954	囑	嘱	嘱		admonish	admonish	entrust	zhǔ	zhǔ	RTH2-L55	RSH2-L55	RTK1v5-L53	K = SH	SH <> TH	K key <> TH key	SH key = TH key		囑	嘱		FALSE
2958	1761	1628	欄	栏	欄		railing	railing	column	lán	lán	RTH2-L55	RSH2-L20	RTK1v5-L42	K = TH	SH <> TH	K key <> TH key	SH key = TH key		欄	栏		FALSE
2959	1762		攔	拦	攔		impede	impede		lán	lán	RTH2-L55	RSH2-L20		K = TH	SH <> TH	RTK key missing	SH key = TH key		攔	拦		FALSE
2960	2328	3019	蹤	踪	踪		tracks	tracks	trail	zōng	zōng	RTH2-L55	RSH2-L33	RTK1v5-Sup.	K = SH	SH <> TH	K key <> TH key	SH key = TH key		蹤	踪		FALSE
2961	2105		聳	耸	聳	v.	shrug	shrug		sǒng	sǒng	RTH2-L55	RSH2-L26		K = TH	SH <> TH	RTK key missing	SH key = TH key		聳	耸		FALSE
2962	2717	1730	劑	剂	剤	n.	pharmaceutical	pharmaceutical	dose	jì	jì	RTH2-L55	RSH2-L44	RTK1v5-L45	K <> H	SH <> TH	K key <> TH key	SH key = TH key	Japanese variant	劑	剂	剤	FALSE
2963	2715	1732	齋	斋	斎		abstain from food	abstain from food	purification	zhāi	zhāi	RTH2-L55	RSH2-L44	RTK1v5-L45	K <> H	SH <> TH	K key <> TH key	SH key = TH key	Japanese variant	齋	斋	斎	FALSE
2964	2718		擠	挤	擠	v.	squeeze	squeeze		jǐ	jǐ	RTH2-L55	RSH2-L44		K = TH	SH <> TH	RTK key missing	SH key = TH key		擠	挤		FALSE
2965	2946		鈕	钮	鈕	n.	push button	push button		niǔ	niǔ	RTH2-L55	RSH2-L55		K = TH	SH <> TH	RTK key missing	SH key = TH key		鈕	钮		FALSE
2966	2947	3029	羞	羞	羞		shy	shy	humiliate	xiū	xiū	RTH2-L55	RSH2-L55	RTK1v5-Sup.	K = SH = TH	SH = TH	K key <> TH key	SH key = TH key		羞			FALSE
2967	2948	2661	紐	纽	紐		New York	New York	string	niǔ	niǔ	RTH2-L55	RSH2-L55	RTK3v2-CH02	K = TH	SH <> TH	K key <> TH key	SH key = TH key		紐	纽		FALSE
2968	2954		脾	脾	脾		spleen	spleen		pí	pí	RTH2-L55	RSH2-L55		K = SH = TH	SH = TH	RTK key missing	SH key = TH key		脾			FALSE
2969	2953		啤	啤	啤		beer	beer		pí	pí	RTH2-L55	RSH2-L55		K = SH = TH	SH = TH	RTK key missing	SH key = TH key		啤			FALSE
2970	2955	1512	碑	碑	碑		stele	stele	tombstone	bēi	bēi	RTH2-L55	RSH2-L55	RTK1v5-L39	K = SH = TH	SH = TH	K key <> TH key	SH key = TH key		碑			FALSE
2971	2949	2908	赫	赫	赫		illustrious	illustrious	incandescent	hè	hè	RTH2-L55	RSH2-L55	RTK3v2-CH03	K = SH = TH	SH = TH	K key <> TH key	SH key = TH key		赫			FALSE
2972	1507	2026	嚇	吓	嚇		terrify	terrify	upbraid	xià	xià|hè	RTH2-L55	RSH2-L03	RTK1v5-L56	K = TH	SH <> TH	K key <> TH key	SH key = TH key		嚇	吓		FALSE
2973	2950		奕	奕	奕		radiating vitality	radiating vitality		yì	yì	RTH2-L55	RSH2-L55		K = SH = TH	SH = TH	RTK key missing	SH key = TH key		奕			FALSE
2974	2951	1746	跡	迹	跡		indication	indication	tracks	jì	jì	RTH2-L55	RSH2-L55	RTK1v5-L45	K = TH	SH <> TH	K key <> TH key	SH key = TH key		跡	迹		FALSE
2975	2552	1497	辭	辞	辞		phraseology	phraseology	resign	cí	cí	RTH2-L55	RSH2-L38	RTK1v5-L39	K = SH	SH <> TH	K key <> TH key	SH key = TH key		辭	辞		FALSE
2976	2941	534	龜	龟	亀		tortoise	tortoise	tortoise	guī	guī|jūn|Qiū	RTH2-L55	RSH2-L55	RTK1v5-L21	K <> H	SH <> TH	K key = TH key	SH key = TH key	Variant	龜	龟	亀	FALSE
2977	2943	1377	繩	绳	縄	n.	rope	rope	straw rope	shéng	shéng	RTH2-L55	RSH2-L55	RTK1v5-L36	K <> H	SH <> TH	K key <> TH key	SH key = TH key	Japanese variant	繩	绳	縄	FALSE
2978	2942	2685	蠅	蝇	蝿		flies	flies	housefly	yíng	yíng	RTH2-L55	RSH2-L55	RTK3v2-CH02	K <> H	SH <> TH	K key <> TH key	SH key = TH key	Variant	蠅	蝇	蝿	FALSE
2979	2975		蝴	蝴	蝴		butterfly (front end)	butterfly (front end)		hú	hú	RTH2-Compounds	RSH2-Compounds		K = SH = TH	SH = TH	RTK key missing	SH key = TH key		蝴			FALSE
2980	2976	521	蝶	蝶	蝶		butterfly (back end)	butterfly (back end)	butterfly	dié	dié	RTH2-Compounds	RSH2-Compounds	RTK1v5-L21	K = SH = TH	SH = TH	K key <> TH key	SH key = TH key		蝶			FALSE
2981	2977		蜘	蜘	蜘		spider (front end)	spider (front end)		zhī	zhī	RTH2-Compounds	RSH2-Compounds		K = SH = TH	SH = TH	RTK key missing	SH key = TH key		蜘			FALSE
2982	2978		蛛	蛛	蛛		spider (back end)	spider (back end)		zhū	zhū	RTH2-Compounds	RSH2-Compounds		K = SH = TH	SH = TH	RTK key missing	SH key = TH key		蛛			FALSE
2983	2979		駱	骆	駱		camel (front end)	camel (front end)		luò	luò	RTH2-Compounds	RSH2-Compounds		K = TH	SH <> TH	RTK key missing	SH key = TH key		駱	骆		FALSE
2984	2980		駝	驼	駝		camel (back end)	camel (back end)		tuó	tuó	RTH2-Compounds	RSH2-Compounds		K = TH	SH <> TH	RTK key missing	SH key = TH key		駝	驼		FALSE
2985	2981		蜻	蜻	蜻		dragonfly (front end)	dragonfly (front end)		qīng	qīng	RTH2-Compounds	RSH2-Compounds		K = SH = TH	SH = TH	RTK key missing	SH key = TH key		蜻			FALSE
2986	2982		蜓	蜓	蜓		dragonfly (back end)	dragonfly (back end)		tíng	tíng	RTH2-Compounds	RSH2-Compounds		K = SH = TH	SH = TH	RTK key missing	SH key = TH key		蜓			FALSE
2987	2983	2142	鳳	凤	鳳		male phoenix	male phoenix	phoenix	fèng	fèng	RTH2-Compounds	RSH2-Compounds	RTK3v2-CH02	K = TH	SH <> TH	K key <> TH key	SH key = TH key		鳳	凤		FALSE
2988	2984		凰	凰	凰		female phoenix	female phoenix		huáng	huáng	RTH2-Compounds	RSH2-Compounds		K = SH = TH	SH = TH	RTK key missing	SH key = TH key		凰			FALSE
2989	2987		橄	橄	橄		olive (A)	olive (A)		gǎn	gǎn	RTH2-Compounds	RSH2-Compounds		K = SH = TH	SH = TH	RTK key missing	SH key = TH key		橄			FALSE
2990	2988		欖	榄	欖		olive (B)	olive (B)		lǎn	lǎn	RTH2-Compounds	RSH2-Compounds		K = TH	SH <> TH	RTK key missing	SH key = TH key		欖	榄		FALSE
2991	2985		玻	玻	玻		glass (front side)	glass (front side)		bō	bō	RTH2-Compounds	RSH2-Compounds		K = SH = TH	SH = TH	RTK key missing	SH key = TH key		玻			FALSE
2992	2986	2048	璃	璃	璃		glass (back side)	glass (back side)	crystal	lí	lí	RTH2-Compounds	RSH2-Compounds	RTK3v2-CH01	K = SH = TH	SH = TH	K key <> TH key	SH key = TH key		璃			FALSE
2993	2991		咖	咖	咖		coffee (first drop)	coffee (first drop)		kā	gā|kā	RTH2-Compounds	RSH2-Compounds		K = SH = TH	SH = TH	RTK key missing	SH key = TH key		咖			FALSE
2994	2992		啡	啡	啡		coffee (last drop)	coffee (last drop)		fēi	fēi	RTH2-Compounds	RSH2-Compounds		K = SH = TH	SH = TH	RTK key missing	SH key = TH key		啡			FALSE
2995	2993	2378	葡	葡	葡		grapes (A)	grapes (A)	grape	pú	pú	RTH2-Compounds	RSH2-Compounds	RTK3v2-CH02	K = SH = TH	SH = TH	K key <> TH key	SH key = TH key		葡			FALSE
2996	2994	2379	萄	萄	萄		grapes (B)	grapes (B)	grape vine	táo	táo	RTH2-Compounds	RSH2-Compounds	RTK3v2-CH02	K = SH = TH	SH = TH	K key <> TH key	SH key = TH key		萄			FALSE
2997	2997		吩	吩	吩		in-	in-		fēn	fēn	RTH2-Compounds	RSH2-Compounds		K = SH = TH	SH = TH	RTK key missing	SH key = TH key		吩			FALSE
2998	2998		咐	咐	咐		-struct	-struct		fù	fù	RTH2-Compounds	RSH2-Compounds		K = SH = TH	SH = TH	RTK key missing	SH key = TH key		咐			FALSE
2999	2999		乒	乒			ping	ping		pīng	pīng	RTH2-Compounds	RSH2-Compounds		K missing	SH = TH	RTK key missing	SH key = TH key		乒			FALSE
3000	3000		乓	乓			pong	pong		pāng	pāng	RTH2-Compounds	RSH2-Compounds		K missing	SH = TH	RTK key missing	SH key = TH key		乓			FALSE
3001	1937		崔	崔	崔		Cui	Cui		cuī	cuī	RTH2-Postscript 1	RSH2-L23		K = SH = TH	SH = TH	RTK key missing	SH key = TH key		崔			FALSE
3002	3001	1173	曹	曹	曹		Cao	Cao	cadet	cáo	cáo	RTH2-Postscript 1	RSH2-Postscript 1	RTK1v5-L31	K = SH = TH	SH = TH	K key <> TH key	SH key = TH key		曹			FALSE
3003	2712	2143	劉	刘	劉		Liu	Liu	slaughter	liú	Liú	RTH2-Postscript 1	RSH2-L44	RTK3v2-CH02	K = TH	SH <> TH	K key <> TH key	SH key = TH key		劉	刘		FALSE
3004	3002		潘	潘	潘		Pan	Pan		pān	Pān	RTH2-Postscript 1	RSH2-Postscript 1		K = SH = TH	SH = TH	RTK key missing	SH key = TH key		潘			FALSE
3005	ch # 2037	ch # 2299	梁	梁	梁		Liang			Liáng	liáng|Liáng	RTH2-Postscript 1			K = SH = TH	SH = TH	RTK key missing	RSH key missing		梁			FALSE
3006	2501	1888	沈	沈	沈		Shen	Shen	sink	Shěn	shěn|Shěn	RTH2-Postscript 1	RSH2-L37	RTK1v5-L51	K = SH = TH	SH = TH	K key <> TH key	SH key = TH key		沈			FALSE
3007	2922	2425	鄭	郑	鄭		Zheng	Zheng	courtesy	zhèng	Zhèng	RTH2-Postscript 1	RSH2-L54	RTK3v2-CH02	K = TH	SH <> TH	K key <> TH key	SH key = TH key		鄭	郑		FALSE
3008	3003		譚	谭	譚		Tan	Tan		tán	tán	RTH2-Postscript 1	RSH2-Postscript 1		K = TH	SH <> TH	RTK key missing	SH key = TH key		譚	谭		FALSE
3009	2535		趙	赵	趙		Zhao	Zhao		zhào	Zhào	RTH2-Postscript 1	RSH2-L38		K = TH	SH <> TH	RTK key missing	SH key = TH key		趙	赵		FALSE
3010	3004		姚	姚	姚		Yao-2	Yao-2		yáo	Yáo	RTH2-Postscript 1	RSH2-Postscript 1		K = SH = TH	SH = TH	RTK key missing	SH key = TH key		姚			FALSE
3011	1538		魯	鲁	魯		Lu	Lu		lǔ	lǔ	RTH2-Postscript 1	RSH2-L08		K = TH	SH <> TH	RTK key missing	SH key = TH key		魯	鲁		FALSE
3012	ch # 1758		姜	姜	姜		Jiang-2			jiāng	jiāng	RTH2-Postscript 1			K = SH = TH	SH = TH	RTK key missing	RSH key missing		姜			FALSE
3013	ch # 2445		范	范	范		Fan			Fàn	fàn|Fàn	RTH2-Postscript 1			K = SH = TH	SH = TH	RTK key missing	RSH key missing		范			FALSE
3014	3005		薛	薛	薛		Xue	Xue		xuē	Xuē	RTH2-Postscript 1	RSH2-Postscript 1		K = SH = TH	SH = TH	RTK key missing	SH key = TH key		薛			FALSE
3015	ch # 2648		涂	涂	涂		Tu			tú	tū|tú	RTH2-Postscript 1			K = SH = TH	SH = TH	RTK key missing	RSH key missing		涂			FALSE
3016	3006		彭	彭	彭		Peng	Peng		péng	Péng	RTH2-Postscript 1	RSH2-Postscript 1		K = SH = TH	SH = TH	RTK key missing	SH key = TH key		彭			FALSE
3017	ch # 2801	2424	郁	郁	郁		Yu-2		cultured	yù	yù	RTH2-Postscript 1		RTK3v2-CH02	K = SH = TH	SH = TH	K key <> TH key	RSH key missing		郁			FALSE
3018	3007		馮	冯	馮		Feng	Feng		Féng	Féng|píng	RTH2-Postscript 1	RSH2-Postscript 1		K = TH	SH <> TH	RTK key missing	SH key = TH key		馮	冯		FALSE
3019	3008		魏	魏	魏		Wei	Wei		wèi	Wèi	RTH2-Postscript 1	RSH2-Postscript 1		K = SH = TH	SH = TH	RTK key missing	SH key = TH key		魏			FALSE
3020	3009	1330	岳	岳	岳		Yue	Yue	Point	yuè	yuè	RTH2-Postscript 1	RSH2-Postscript 1	RTK1v5-L35	K = SH = TH	SH = TH	K key <> TH key	SH key = TH key		岳			FALSE
3021	ch # 1023		彿	佛	彿		as though			fú	fú	RTH2-Postscript 1			K = TH	SH <> TH	RTK key missing	RSH key missing		彿	佛		FALSE
3022	3010	2349	莉	莉	莉		jasmine	jasmine	hawthorn	lì	lì	RTH2-Postscript 1	RSH2-Postscript 1	RTK3v2-CH02	K = SH = TH	SH = TH	K key <> TH key	SH key = TH key		莉			FALSE
3023	3011		湘	湘	湘		Hunan Province	Hunan Province		xiāng	Xiāng	RTH2-Postscript 1	RSH2-Postscript 1		K = SH = TH	SH = TH	RTK key missing	SH key = TH key		湘			FALSE
3024	3012		甸	甸	甸		outlying areas	outlying areas		diàn	diān|diàn	RTH2-Postscript 1	RSH2-Postscript 1		K = SH = TH	SH = TH	RTK key missing	SH key = TH key		甸			FALSE
3025	3013		滄	沧	滄		dark blue	dark blue		cāng	cāng	RTH2-Postscript 1	RSH2-Postscript 1		K = TH	SH <> TH	RTK key missing	SH key = TH key		滄	沧		FALSE
3026	3014	2612	穆	穆	穆		reverent	reverent	obeisant	mù	mù	RTH2-Postscript 1	RSH2-Postscript 1	RTK3v2-CH02	K = SH = TH	SH = TH	K key <> TH key	SH key = TH key		穆			FALSE
3027	3015		娜	娜	娜		na	na		nuó	nuó	RTH2-Postscript 1	RSH2-Postscript 1		K = SH = TH	SH = TH	RTK key missing	SH key = TH key		娜			FALSE
3028	3016		瓊	琼	瓊		fine jade	fine jade		qióng	qióng	RTH2-Postscript 1	RSH2-Postscript 1		K = TH	SH <> TH	RTK key missing	SH key = TH key		瓊	琼		FALSE
3029	3017	2554	琳	琳	琳		gem	gem	chime	lín	lín	RTH2-Postscript 1	RSH2-Postscript 1	RTK3v2-CH02	K = SH = TH	SH = TH	K key <> TH key	SH key = TH key		琳			FALSE
3030	3018		鈞	钧	鈞		30 catties	30 catties		jūn	jūn	RTH2-Postscript 1	RSH2-Postscript 1		K = TH	SH <> TH	RTK key missing	SH key = TH key		鈞	钧		FALSE
3031	2403		喲	哟	喲		Oh!	Oh!		yō	yo|yō	RTH2-Postscript 1	RSH2-L35		K = TH	SH <> TH	RTK key missing	SH key = TH key		喲	哟		FALSE
3032	1746	532	砲	炮	砲		cannon	cannon	cannon	pào	pào|báo|pū	RTH2-Postscript 1	RSH2-L20	RTK1v5-L21	K = TH	SH <> TH	K key = TH key	SH key = TH key		砲	炮		FALSE
3033	ch # 2966	2409	蒐	搜	蒐		search for		collector	sōu	sōu|huì	RTH2-Postscript 1		RTK3v2-CH02	K = TH	SH <> TH	K key <> TH key	RSH key missing		蒐	搜		FALSE
3034	2989	2361	芙	芙	芙		hibiscus (A)	hibiscus (A)	lotus flower	fú	fú	RTH2-Postscript 1	RSH2-Compounds	RTK3v2-CH02	K = SH = TH	SH = TH	K key <> TH key	SH key = TH key		芙			FALSE
3035	2990	2362	蓉	蓉	蓉		cottonrose hibiscus (B)	cottonrose hibiscus (B)	lotus blossom	róng	róng	RTH2-Postscript 1	RSH2-Compounds	RTK3v2-CH02	K = SH = TH	SH = TH	K key <> TH key	SH key = TH key		蓉			FALSE
	(c)	1025	卒	卒	卒		foot soldier	foot soldier	graduate	zú	zú|cù			RTK1v5-L27	K = SH = TH	SH = TH	K key <> TH key	SH key = TH key		卒			FALSE
	(c)	2099	堇	堇	菫		violet	violet	violet	jǐn	jǐn			RTK3v2-CH01	K <> H	SH = TH	K key = TH key	SH key = TH key	Variant	堇		菫	FALSE
	(c)	2435	昴	昴	昴		The Pleiades	The Pleiades	overarching	mǎo	mǎo			RTK3v2-CH02	K = SH = TH	SH = TH	K key <> TH key	SH key = TH key		昴			FALSE
	(c)		瘧	疟	瘧		malaria	malaria		nüè	nüè|yào				K = TH	SH <> TH	RTK key missing	SH key = TH key		瘧	疟		FALSE
	(c)	1691	癖	癖	癖		mannerism	mannerism	mannerism	pǐ	pǐ			RTK1v5-L44	K = SH = TH	SH = TH	K key = TH key	SH key = TH key		癖			FALSE
	(c)	2459	肛	肛	肛		anus	anus	anus	gāng	gāng			RTK3v2-CH02	K = SH = TH	SH = TH	K key = TH key	SH key = TH key		肛			FALSE
	(c)		茵	茵	茵	b.f.	mattress	mattress		yīn	yīn				K = SH = TH	SH = TH	RTK key missing	SH key = TH key		茵			FALSE
	(c) (rare)		咾	咾	咾			a noise			hǒng|hòng|lǎo|liǎo				K = SH = TH	SH = TH	RTK key & RTH key missing	RTH key missing		咾			FALSE
	1511		矗	矗	矗		stand straight	stand straight		chù	chù		RSH2-L05		K = SH = TH	SH = TH	RTK key missing	SH key = TH key		矗			FALSE
	1548	2617	灶	灶	竃		cooking stove	cooking stove	kitchen stove	zào	zào		RSH2-L08	RTK3v2-CH02	K <> H	SH = TH	K key <> TH key	SH key = TH key	Variant	灶		竃	FALSE
	1553		熏	熏	熏		treat with smoke	treat with smoke		xūn	xūn|xùn		RSH2-L09		K = SH = TH	SH = TH	RTK key missing	SH key = TH key		熏			FALSE
	1555		炯	炯	炯		shining	shining		jiǒng	jiǒng		RSH2-L09		K = SH = TH	SH = TH	RTK key missing	SH key = TH key		炯			FALSE
	1556		晌	晌	晌		part of the day	part of the day		shǎng	shǎng		RSH2-L09		K = SH = TH	SH = TH	RTK key missing	SH key = TH key		晌			FALSE
	1557		淌	淌	淌	v.	trickle	trickle		tǎng	tǎng		RSH2-L09		K = SH = TH	SH = TH	RTK key missing	SH key = TH key		淌			FALSE
	1581		苟	苟	苟		careless	careless		gǒu	gǒu		RSH2-L10		K = SH = TH	SH = TH	RTK key missing	SH key = TH key		苟			FALSE
	1604		瑣	琐	瑣		trivial	trivial		suǒ	suǒ		RSH2-L12		K = TH	SH <> TH	RTK key missing	SH key = TH key		瑣	琐		FALSE
	1630		胳	胳	胳		upper limb	upper limb		gē	gē|gé|gā		RSH2-L13		K = SH = TH	SH = TH	RTK key missing	SH key = TH key		胳			FALSE
	1635		炕	炕	炕		brick-heated bed	brick-heated bed		kàng	kàng		RSH2-L14		K = SH = TH	SH = TH	RTK key missing	SH key = TH key		炕			FALSE
	1647		墩	墩	墩		mound	mound		dūn	dūn		RSH2-L15		K = SH = TH	SH = TH	RTK key missing	SH key = TH key		墩			FALSE
	1698	2627	襖	袄	襖		short Chinese-style coat	short Chinese-style coat	sliding door	ǎo	ǎo		RSH2-L18	RTK3v2-CH02	K = TH	SH <> TH	K key <> TH key	SH key = TH key		襖	袄		FALSE
	1722		黯	黯	黯		tenebrous	tenebrous		àn	àn		RSH2-L19		K = SH = TH	SH = TH	RTK key missing	SH key = TH key		黯			FALSE
	1731		淤	淤	淤		silt	silt		yū	yū		RSH2-L19		K = SH = TH	SH = TH	RTK key missing	SH key = TH key		淤			FALSE
	1769	563	雌	雌	雌		feminine	feminine	feminine	cí	cí		RSH2-L20	RTK1v5-L21	K = SH = TH	SH = TH	K key = TH key	SH key = TH key		雌			FALSE
	1838		捎	捎	捎		bring to	bring to		shāo	shāo|shào		RSH2-L22		K = SH = TH	SH = TH	RTK key missing	SH key = TH key		捎			FALSE
	1861		搓	搓	搓	v.	massage	massage		cuō	cuō		RSH2-L22		K = SH = TH	SH = TH	RTK key missing	SH key = TH key		搓			FALSE
	1881	2498	梗	梗	梗	n.	stalk	stalk	spiny	gěng	gěng		RSH2-L22	RTK3v2-CH02	K = SH = TH	SH = TH	K key <> TH key	SH key = TH key		梗			FALSE
	1910		怡	怡	怡		cheerful	cheerful		yí	yí		RSH2-L22		K = SH = TH	SH = TH	RTK key missing	SH key = TH key		怡			FALSE
	1928		峭	峭	峭		precipitous	precipitous		qiào	qiào		RSH2-L23		K = SH = TH	SH = TH	RTK key missing	SH key = TH key		峭			FALSE
	1951		嗡	嗡		n.	buzzing	buzzing		wēng	wēng		RSH2-L23		K missing	SH = TH	RTK key missing	SH key = TH key		嗡			FALSE
	1954	2547	熔	熔	熔	v.	fuse	fuse	fuse metal	róng	róng		RSH2-L23	RTK3v2-CH02	K = SH = TH	SH = TH	K key <> TH key	SH key = TH key		熔			FALSE
	1955	800	裳	裳	裳		raiment	raiment	skirt	shang	shang|cháng		RSH2-L24	RTK1v5-L25	K = SH = TH	SH = TH	K key <> TH key	SH key = TH key		裳			FALSE
	1976	2359	蔓	蔓	蔓		creeping vine	creeping vine	tendril	wàn	màn|mán|wàn		RSH2-L24	RTK3v2-CH02	K = SH = TH	SH = TH	K key <> TH key	SH key = TH key		蔓			FALSE
	2036		粱	粱	粱		fine millet	fine millet		liáng	liáng		RSH2-L25		K = SH = TH	SH = TH	RTK key missing	SH key = TH key		粱			FALSE
	2042		憋	憋	憋		suppress	suppress		biē	biē		RSH2-L25		K = SH = TH	SH = TH	RTK key missing	SH key = TH key		憋			FALSE
	2135		屜	屉	屜		drawer	drawer		tì	tì		RSH2-L28		K = TH	SH <> TH	RTK key missing	SH key = TH key		屜	屉		FALSE
	2160	2138	凜	凛	凛		chilly	chilly	stately	lǐn	lǐn		RSH2-L29	RTK3v2-CH02	K = SH	SH <> TH	K key <> TH key	SH key = TH key		凜	凛		FALSE
	2191		浙	浙	浙		Zhejian Province	Zhejian Province		zhè	Zhè		RSH2-L30		K = SH = TH	SH = TH	RTK key missing	SH key = TH key		浙			FALSE
	2290		挎	挎			carry on the arm	carry on the arm		kuà	kuà		RSH2-L32		K missing	SH = TH	RTK key missing	SH key = TH key		挎			FALSE
	2297	2204	姥	姥	姥		maternal grandmother	maternal grandmother	aged woman	lǎo	lǎo		RSH2-L33	RTK3v2-CH02	K = SH = TH	SH = TH	K key <> TH key	SH key = TH key		姥			FALSE
	2346		陝	陕	陝		Shaanxi Province	Shaanxi Province		shǎn	Shǎn		RSH2-L34		K = TH	SH <> TH	RTK key missing	SH key = TH key		陝	陕		FALSE
	2348		棱	棱	棱	n.	edge	edge		léng	léng|lēng		RSH2-L34		K = SH = TH	SH = TH	RTK key missing	SH key = TH key		棱			FALSE
	2371		繃	绷	繃		stretch taut	stretch taut		bēng	bēng|běng|bèng		RSH2-L35		K = TH	SH <> TH	RTK key missing	SH key = TH key		繃	绷		FALSE
	2380	2670	綻	绽	綻		split at the seams	split at the seams	come apart at the seams	zhàn	zhàn		RSH2-L35	RTK3v2-CH02	K = TH	SH <> TH	K key <> TH key	SH key = TH key		綻	绽		FALSE
	2388		縷	缕	縷		in detail	in detail		lǚ	lǚ		RSH2-L35		K = TH	SH <> TH	RTK key missing	SH key = TH key		縷	缕		FALSE
	2398	1368	絹	绢	絹		tough silk	tough silk	silk	juàn	juàn		RSH2-L35	RTK1v5-L36	K = TH	SH <> TH	K key <> TH key	SH key = TH key		絹	绢		FALSE
	2446		扼	扼	扼	v.	clutch	clutch		è	è		RSH2-L36		K = SH = TH	SH = TH	RTK key missing	SH key = TH key		扼			FALSE
	2481		櫥	橱			closet	closet		chú	chú		RSH2-L37		K missing	SH <> TH	RTK key missing	SH key = TH key		櫥	橱		FALSE
	2488		盔	盔	盔		helmet	helmet		kuī	kuī		RSH2-L37		K = SH = TH	SH = TH	RTK key missing	SH key = TH key		盔			FALSE
	2493		磕	磕	磕		collide with	collide with		kē	kē		RSH2-L37		K = SH = TH	SH = TH	RTK key missing	SH key = TH key		磕			FALSE
	2563		鑲	镶	鑲	v.	inlay	inlay		xiāng	xiāng		RSH2-L38		K = TH	SH <> TH	RTK key missing	SH key = TH key		鑲	镶		FALSE
	2576		疇	畴	疇		farmland	farmland		chóu	chóu		RSH2-L39		K = TH	SH <> TH	RTK key missing	SH key = TH key		疇	畴		FALSE
	2587		篷	篷	篷		awning	awning		péng	péng		RSH2-L39		K = SH = TH	SH = TH	RTK key missing	SH key = TH key		篷			FALSE
	2592		豁	豁	豁	n.	breach	breach		huō	huō|huò|huá		RSH2-L39		K = SH = TH	SH = TH	RTK key missing	SH key = TH key		豁			FALSE
	2631		澗	涧	澗		ravine	ravine		jiàn	jiàn		RSH2-L41		K = TH	SH <> TH	RTK key missing	SH key = TH key		澗	涧		FALSE
	2724		秧	秧	秧		youngling	youngling		yāng	yāng		RSH2-L44		K = SH = TH	SH = TH	RTK key missing	SH key = TH key		秧			FALSE
	2730	2229	嵌	嵌	嵌	v.	set	set	fit into	qiàn	qiàn		RSH2-L45	RTK3v2-CH02	K = SH = TH	SH = TH	K key <> TH key	SH key = TH key		嵌			FALSE
	(c)		賬	账	賬	pl.		accounts		zhàng	zhàng				K = TH	SH <> TH	RTK key & RTH key missing	RTH key missing		賬	账		FALSE
	2816		鈣	钙	鈣		calcium	calcium		gài	gài		RSH2-L49		K = TH	SH <> TH	RTK key missing	SH key = TH key		鈣	钙		FALSE
	2823	2674	舵	舵	舵		rudder	rudder	rudder	duò	duò		RSH2-L49	RTK3v2-CH02	K = SH = TH	SH = TH	K key = TH key	SH key = TH key		舵			FALSE
	2831		隘	隘	隘	n.	pass	pass		ài	ài		RSH2-L50		K = SH = TH	SH = TH	RTK key missing	SH key = TH key		隘			FALSE
	2833		氨	氨	氨		ammonia	ammonia		ān	ān		RSH2-L50		K = SH = TH	SH = TH	RTK key missing	SH key = TH key		氨			FALSE
	2911		唬	唬			bluff	bluff		hǔ	hǔ		RSH2-L53		K missing	SH = TH	RTK key missing	SH key = TH key		唬			FALSE
	2917		磷	磷	磷		phosphorous	phosphorous		lín	lín		RSH2-L54		K = SH = TH	SH = TH	RTK key missing	SH key = TH key		磷			FALSE
	2931		朧	胧	朧		hazy	hazy		lóng	lóng		RSH2-L54		K = TH	SH <> TH	RTK key missing	SH key = TH key		朧	胧		FALSE
	2995		蘑	蘑	蘑		mushroom (cap)	mushroom (cap)		mó	mó		RSH2-Compounds		K = SH = TH	SH = TH	RTK key missing	SH key = TH key		蘑			FALSE
	2996		菇	菇	菇		mushroom (stem)	mushroom (stem)		gū	gū		RSH2-Compounds		K = SH = TH	SH = TH	RTK key missing	SH key = TH key		菇			FALSE
	(c) 1137.1	1447	皿	皿	皿	b.f.		dish	dish	mǐn	mǐn			RTK1v5-L38	K = SH = TH	SH = TH	RTH key missing	RTH key missing		皿			FALSE
	(c)		豸	豸	豸			feline beast		zhì	zhì				K = SH = TH	SH = TH	RTK key & RTH key missing	RTH key missing		豸			FALSE
	(c) (p)		奐	奂	奐			first-class		huàn	huàn				K = TH	SH <> TH	RTK key & RTH key missing	RTH key missing		奐	奂		FALSE
	(c)	2833	鷺	鹭	鷺			heron	heron	lù	lù			RTK3v2-CH02	K = TH	SH <> TH	RTH key missing	RTH key missing		鷺	鹭		FALSE
	(c)		嗯	嗯				huh		ǹg	ńg|ňg|ǹg				K missing	SH = TH	RTK key & RTH key missing	RTH key missing		嗯			FALSE
	(c)		羔	羔	羔			lamb		gāo	gāo				K = SH = TH	SH = TH	RTK key & RTH key missing	RTH key missing		羔			FALSE
	(c)		葷	荤	葷			meat diet		hūn	hūn|Xūn				K = TH	SH <> TH	RTK key & RTH key missing	RTH key missing		葷	荤		FALSE
